Catégorie;Sous-catégorie;Critères techniques
semiconductors;transceiverRF;"Fréquence (GHz) | Débit binaire (Mbps) | Modulation | Puissance TX (dBm) | Sensibilité RX (dBm)"
semiconductors;transceiverEth;"Standard (10/100/1000 Mbps) | Interface MII/RMII/RGMII | Tension (V) | Température"
semiconductors;motorDriver;"Tension d'alimentation (V) | Courant continu maximal (A) | Pic de courant (A) | Nombre de moteurs/H-bridge | Logique de commande"
sensors;audio;"Sensibilité (dBV/Pa) | Bande passante (Hz) | Rapport signal/bruit (SNR) (dB) | Impédance (Ω)"
sensors;current;"Type (Hall, shunt) | Plage de courant (A) | Sensibilité (mV/A) | Sortie (analogique, numérique)"
sensors;encoders;"Type (incrémental, absolu) | Résolution (PPR / bits) | Sortie (A, B, Z ou SPI) | Tension"
sensors;magnetic;"Plage de mesure (Gauss/mT) | Résolution | Interface (I2C/SPI) | Tension"
sensors;pressure;"Plage de pression (bar/Pa) | Précision (%) | Type de sortie (analogique, I2C, SPI)"
sensors;proximity;"Distance de détection (mm) | Technologie (inductif, capacitif, optique) | Sortie (NPN, PNP, numérique)"
sensors;temperature;"Plage de mesure (°C) | Précision (±°C) | Interface (analogique, OneWire, I2C) | Tension"
sensors;IMU;"Axes (6/9 axes) | Plage de mesure (g, °/s) | Interface (I2C/SPI) | Tension | Débit de données"
thermalManagement;fans;"Tension (V) | Courant (A) | Débit d'air (CFM) | Bruit (dBA) | Vitesse (RPM) | Type de roulement (billes/glisse)"
thermalManagement;heatSinks;"Résistance thermique (°C/W) | Matériau (Alu, Cuivre) | Dimensions (L x l x h en mm) | Type de fixation (collage, clips)"
wireCables;cableAssemblies;"Longueur (cm/m) | Connecteurs aux extrémités | Nombre de conducteurs | Type de fils (AWG)"
wireCables;multiConductorCables;"Section (AWG ou mm²) | Nombre de conducteurs | Isolation (PVC, silicone) | Tension max (V)"
tools;soldering;"Type (fer à souder, station à air chaud) | Puissance (W) | Plage de température (°C) | Type de panne"
optoelectronic;LED;"Couleur (et longueur d'onde en nm) | Tension directe (Vf) | Intensité lumineuse (mcd) | Angle de vue (°) | Puissance (W)"
optoelectronic;IR;"Longueur d'onde (nm) | Tension directe (V) | Angle de vue | Portée (m)"
optoelectronic;phototransistor;"Longueur d'onde de pic (nm) | Sensibilité (µA/lux) | Tension collecteur-émetteur (V) | Courant obscur (µA)"
